date,label,artist,actual_name,monthly_listeners,url
2024-06-24,HYBE,NewJeans,,18020000.0,
2024-06-24,HYBE,SEVENTEEN,,6800000.0,
2024-06-24,HYBE,TXT,,8720000.0,
2024-06-24,JYP,NMIXX,,3940000.0,
2024-06-24,JYP,Stray Kids,,9190000.0,
2024-06-24,JYP,TWICE,,9770000.0,
2024-06-24,SM,NCT 127,,3120000.0,
2024-06-24,SM,NCT DREAM,,3990000.0,
2024-06-24,SM,RIIZE,,3740000.0,
2024-06-24,SM,aespa,,13480000.0,
2024-06-24,YG,BABYMONSTER,,9750000.0,
2024-06-24,YG,TREASURE,,3180000.0,
2024-07-01,HYBE,BOYNEXTDOOR,,1960000.0,
2024-07-01,HYBE,BTS,,28290000.0,
2024-07-01,HYBE,ENHYPEN,,7880000.0,
2024-07-01,HYBE,ILLIT,,14790000.0,
2024-07-01,HYBE,Jungkook,,23670000.0,
2024-07-01,HYBE,LE SSERAFIM,,12060000.0,
2024-07-01,HYBE,NewJeans,,17900000.0,
2024-07-01,HYBE,SEVENTEEN,,6590000.0,
2024-07-01,HYBE,TXT,,8530000.0,
2024-07-01,JYP,NMIXX,,3860000.0,
2024-07-01,JYP,Stray Kids,,8800000.0,
2024-07-01,JYP,TWICE,,9670000.0,
2024-07-01,SM,NCT 127,,3090000.0,
2024-07-01,SM,NCT DREAM,,3840000.0,
2024-07-01,SM,RIIZE,,3990000.0,
2024-07-01,SM,aespa,,13090000.0,
2024-07-01,YG,BABYMONSTER,,9490000.0,
2024-07-01,YG,TREASURE,,3160000.0,
2024-07-08,HYBE,BOYNEXTDOOR,,1980000.0,
2024-07-08,HYBE,BTS,,27880000.0,
2024-07-08,HYBE,ENHYPEN,,7940000.0,
2024-07-08,HYBE,ILLIT,,13690000.0,
2024-07-08,HYBE,Jungkook,,22540000.0,
2024-07-08,HYBE,LE SSERAFIM,,11700000.0,
2024-07-08,HYBE,NewJeans,,17640000.0,
2024-07-08,HYBE,SEVENTEEN,,6310000.0,
2024-07-08,HYBE,TXT,,8360000.0,
2024-07-08,JYP,NMIXX,,3780000.0,
2024-07-08,JYP,Stray Kids,,8360000.0,
2024-07-08,JYP,TWICE,,9460000.0,
2024-07-08,SM,NCT 127,,3090000.0,
2024-07-08,SM,NCT DREAM,,3760000.0,
2024-07-08,SM,RIIZE,,4225000.0,
2024-07-08,SM,aespa,,12610000.0,
2024-07-08,YG,BABYMONSTER,,9430000.0,
2024-07-08,YG,TREASURE,,3080000.0,
2024-07-15,HYBE,BOYNEXTDOOR,,2000000.0,
2024-07-15,HYBE,BTS,,27560000.0,
2024-07-15,HYBE,ENHYPEN,,7970000.0,
2024-07-15,HYBE,ILLIT,,13800000.0,
2024-07-15,HYBE,Jungkook,,22460000.0,
2024-07-15,HYBE,LE SSERAFIM,,11840000.0,
2024-07-15,HYBE,NewJeans,,17800000.0,
2024-07-15,HYBE,SEVENTEEN,,6420000.0,
2024-07-15,HYBE,TXT,,8400000.0,
2024-07-15,JYP,NMIXX,,3590000.0,
2024-07-15,JYP,Stray Kids,,8200000.0,
